oracle_id,school_name,FY 2017 Ending Budget
24851,Louis Pasteur School,8291015
22041,Louisa May Alcott School,8184750
69039,Lubavitch Girls High School,23960
25931,Ludwig Von Beethoven School,4364119
24801,Luke O'Toole School,3846065
22401,Luther Burbank School,8108395
69382,Luther High School North,20447
69336,Lutheran Education Foundation,495252
69086,Lydia Home Association,115770
69532,Lydia Urban Prep,8780
22391,Lyman A Budlong School,6689140
25651,Lyman Trumbull School,3000
65021,Magic Johnson Brainerd,1452187
65012,Magic Johnson Bridgescape Academy Roseland,1854776
65022,Magic Johnson Englewood,3539659
65020,Magic Johnson Humboldt Park,1812788
65011,Magic Johson Bridgescape Academy North Lawndale,1912788
10845,Magnet-Gifted and IB Programs,3665616
26651,Mahalia Jackson School,3798786
25581,Mancel Talcott School,5167215
53111,Manley Career Community Academy High School,3128787
22861,Manuel Perez Jr Elementary School,3514543
24951,Marcus Moziah Garvey School,2514710
29151,Maria Saucedo Scholastic Academy,8779711
22921,Mariano Azuela Elementary School,7364149
53101,Marie Sklodowska Curie Metropolitan High School,27934553
41111,Marine Leadership Academy at Ames,8528093
49151,Marine Military Academy,2895
69386,Marist High School,7460
29201,Mark Sheridan Math & Science Academy,5060800
29281,Mark Skinner School,8013070
25661,Mark Twain School,8888666
24341,Marquette Elementary,9487184
25181,Martha M Ruggles Elementary School,3853433
22691,Marvin Camras Elementary School,7973120
26421,Mary E Mcdowell Elementary School,2020744
24941,Mary G Peterson School,7023262
24281,Mary Lyon School,11466615
69197,Maternity Bvm School,113156
13717,Mathematics,965225
29091,Matthew Gallistel Language Academy,8389425
26591,Medgar Evers School,3204976
23271,Melville W Fuller,3228836
69063,Mercy Home for Boys,150393
69013,Mercy Home for Girls,11298
69087,Methodist Youth Services,195750
24371,Michael Faraday Elementary School,3295401
22501,Michael M Byrne School,5569892
41051,Michelle Clark Academic Prep Magnet High School,6236699
22491,Milton Brunson Specialty Elementary School,4981336
23931,Minnie Mars Jamieson School,7739125
46251,Morgan Park High School,13500215
26091,Morton School of Excellence,3748327
30041,Moses Montefiore Special School,1053
24591,Mount Greenwood Elementary School,7163018
24601,Mount Vernon Elementary School,2787969
66911,Moving Everest Charter School,2931830
69550,Muhammad Univ,84228
55181,Multicultural Arts High School (at Little Village),2986394
22291,Myra Bradwell Communication Arts & Sciences Academy,5560766
66271,Namaste Charter School,5138617
30011,Nancy B Jefferson Alternative School,7695434
23491,Nathan Hale School,8117401
26561,Nathan R Goldblatt School,250
22891,Nathan S Davis School & Annex,7041190
23431,Nathanael Greene School,5232191
32031,National Teachers' Academy (NTA),5957680
53061,Neal F Simeon Vocational High School,12474172
69458,Near North Montessori A,68433
2411,Network 1,1171600
2501,Network 10,1058078
2511,Network 11,1708764
2521,Network 12,1133140
2531,Network 13,1623606
2421,Network 2,1285966
2431,Network 3,1497499
2441,Network 4,1033911
2451,Network 5,1337351
2461,Network 6,1231244
2471,Network 7,1110902
2481,Network 8,1316553
2491,Network 9,1472839
11110,Network Support,2408727
22071,New Field School,6161960
13615,New School Development - City Wide,768731
66137,New UNO HS at 51st & St. Louis,7460769
22171,Newton Bateman Elementary School,8413249
31101,Ninos Heroes Academic Center,3616628
66579,Noble - Mansueto High School,2108651
66572,Noble Street Charter High School - Chicago Bulls College Prep Campus,12073250
66146,Noble Street Charter High School - Comer Campus,12881363
66148,Noble Street Charter High School - Englewood Campus,9709364
66145,Noble Street Charter High School - Golder Campus,7487275
66573,Noble Street Charter High School - Muchin College Prep Campus,10525254
66142,Noble Street Charter High School - Pritzker College Prep Campus,11398235
66143,Noble Street Charter High School - Rauner College Prep Campus,7320139
66144,Noble Street Charter High School - Rowe Clark Campus,6923536
66147,Noble Street Charter High School - UIC Campus,9698441
66141,Noble Street Charter School,7371301
66578,Noble Street Charter School - The Noble Academy,3802431
66149,Noble Street Charter School -ITW David Speer Academy,9560086
66577,Noble Street Charter School- Baker College Prep (Orange),4538200
66576,Noble Street Charter School- Butler College Prep (Crimson),6921766
66575,Noble Street Charter School- DRW College Prep (Purple),6491521
66574,Noble Street Charter School-Hansberry College Prep (Silver),8310713
22321,Norman Bridge School,8086681
46431,North Grand High School,9469949
66091,North Lawndale College Prep - Christiana,4344197
66092,North Lawndale College Prep - Collins,4760480
69509,North Park Elementary School,6995
26841,North River Elementary School,3110580
69327,North Shore SDA Junior Academy,34371
69145,Northside Cath Academy,108849
46061,Northside College Prep,9894098
49021,Northside Learning Center,6534072
69315,Northwest Institute,12509
41121,Northwest Middle,4450235
24711,Norwood Park Elementary School,3586083
69393,Notre Dame High School,3011
12010,Nutrition Support Services,2220447
12050,Nutrition Support Services - City Wide,131779927
11671,ODLSS Instructional Supports: Access & Opportunities,19652
11672,ODLSS Instructional Supports: Diverse-Learner Supp,11443827
11674,ODLSS Instructional Supports: Network Supports,71228711
11673,ODLSS Instructional Supports: Specially-Designed Instruction,10266569
69556,Oakdale Christian Academy,153361
69510,Office of Catholic Schools,12686784
5281,Office of Education Options,-132982
10430,Office of Internal Audit and Compliance,6718851
15500,Office of Planning and Data Management,1294701
10811,Office of School Quality Measurement and Research,2221018
14050,Office of Student Health & Wellness,7239302
69198,Old St. Mary School,7278
29301,Ole A Thorp Scholastic Academy,7182486
26381,Oliver S Westcott Elementary School,3993085
23831,Oliver Wendell Holmes School,3438081
65014,Ombudsman Chicago - South,4517135
65013,Ombudsman Chicago Northwest,2826998
